Shape,Particle_Size_nm,Surface_Area_m2_g,Bandgap_eV,Oxygen_Vacancy,Light_Intensity_mW_cm2,RF_Predicted_Activity,XGB_Predicted_Activity,Mean_Predicted_Activity
Sphere,30,33.333333333333336,2.1,0.5,100.0,0.059637000000000044,0.04981408,0.05472553947842124
Sphere,35,28.571428571428573,2.1,0.5,100.0,0.06299700000000005,0.06623274,0.06461487043952945
Sphere,40,25.0,2.1,0.5,100.0,0.06527850000000003,0.065386936,0.06533271803426743
Sphere,45,22.22222222222222,2.1,0.5,100.0,0.06840800000000005,0.06902434,0.06871616965913775
Sphere,50,20.0,2.1,0.5,100.0,0.07078500000000007,0.06902434,0.06990466965913776
Sphere,55,18.181818181818183,2.1,0.5,100.0,0.08759449999999992,0.08079468,0.08419458856916423
Sphere,60,16.666666666666668,2.1,0.5,100.0,0.08944699999999987,0.08554694,0.08749697028255457
Sphere,65,15.384615384615385,2.1,0.5,100.0,0.0977974999999999,0.11106601,0.10443175678730006
Sphere,70,14.285714285714286,2.1,0.5,100.0,0.10460649999999994,0.1123945,0.10850049839925763
Sphere,75,13.333333333333334,2.1,0.5,100.0,0.12629800000000016,0.12776333,0.127030665468216
Sphere,80,12.5,2.1,0.5,100.0,0.13078850000000022,0.13579373,0.13329111530828486
Sphere,85,11.764705882352942,2.1,0.5,100.0,0.13468050000000006,0.13900858,0.13684454081916814
Sphere,90,11.11111111111111,2.1,0.5,100.0,0.15748999999999996,0.16352196,0.16050598018884657
Sphere,95,10.526315789473685,2.1,0.5,100.0,0.20529200000000014,0.17205878,0.18867538801050193
Sphere,100,10.0,2.1,0.5,100.0,0.21916600000000025,0.22985938,0.22451269095706952
Sphere,105,9.523809523809524,2.1,0.5,100.0,0.25243750000000054,0.25212693,0.2522822160720828
Sphere,110,9.090909090909092,2.1,0.5,100.0,0.2815205000000005,0.27533454,0.27842751851463343
Sphere,115,8.695652173913043,2.1,0.5,100.0,0.30086300000000027,0.28183866,0.29135082773590104
Sphere,120,8.333333333333334,2.1,0.5,100.0,0.306468,0.28376266,0.29511533180141447
Sphere,125,8.0,2.1,0.5,100.0,0.31280649999999993,0.31140018,0.31210333754730224
Sphere,130,7.6923076923076925,2.1,0.5,100.0,0.31420649999999983,0.32123545,0.3177209740610122
Sphere,135,7.407407407407407,2.1,0.5,100.0,0.3248775,0.3394125,0.332145005197525
Sphere,140,7.142857142857143,2.1,0.5,100.0,0.32559949999999993,0.34415448,0.33487698855972287
Sphere,145,6.896551724137931,2.1,0.5,100.0,0.32487849999999985,0.34415448,0.3345164885597228
Sphere,150,6.666666666666667,2.1,0.5,100.0,0.31856199999999985,0.34415448,0.3313582385597228
Sphere,155,6.451612903225806,2.1,0.5,100.0,0.31040249999999975,0.34415448,0.32727848855972275
Sphere,160,6.25,2.1,0.5,100.0,0.30770949999999986,0.3191582,0.3134338482246398
Sphere,165,6.0606060606060606,2.1,0.5,100.0,0.3038205,0.31363335,0.30872692625904086
Sphere,170,5.882352941176471,2.1,0.5,100.0,0.30592450000000015,0.31363335,0.3097789262590409
Sphere,175,5.714285714285714,2.1,0.5,100.0,0.2996654999999999,0.31363335,0.3066494262590408
Sphere,180,5.555555555555555,2.1,0.5,100.0,0.2756525000000001,0.2892427,0.28244760732173924
Sphere,185,5.405405405405405,2.1,0.5,100.0,0.24021749999999983,0.23007068,0.2351440901899337
Sphere,190,5.2631578947368425,2.1,0.5,100.0,0.227774,0.22854993,0.22816196373653413
Sphere,195,5.128205128205129,2.1,0.5,100.0,0.23106099999999993,0.21623498,0.22364799100685118
Sphere,200,5.0,2.1,0.5,100.0,0.21878199999999995,0.2056261,0.21220405015087124
Sphere,205,4.878048780487805,2.1,0.5,100.0,0.18210600000000024,0.19247913,0.18729256680297862
Sphere,210,4.761904761904762,2.1,0.5,100.0,0.16088200000000022,0.14586452,0.15337325824832926
Sphere,215,4.651162790697675,2.1,0.5,100.0,0.15025250000000004,0.14699559,0.14862404456853867
Sphere,220,4.545454545454546,2.1,0.5,100.0,0.13740249999999998,0.10962136,0.12351193044900893
Sphere,225,4.444444444444445,2.1,0.5,100.0,0.1175985000000002,0.10962136,0.11360993044900905
Sphere,230,4.3478260869565215,2.1,0.5,100.0,0.10455700000000015,0.105610944,0.10508397216534622
Sphere,235,4.25531914893617,2.1,0.5,100.0,0.07432400000000004,0.08205885,0.07819142347526553
Sphere,240,4.166666666666667,2.1,0.5,100.0,0.07202150000000002,0.08054049,0.07628099656534196
Sphere,245,4.081632653061225,2.1,0.5,100.0,0.05236699999999999,0.049639404,0.05100320191001892
Sphere,250,4.0,2.1,0.5,100.0,0.03896749999999993,0.047167357,0.04306742852866646
Sphere,255,3.9215686274509802,2.1,0.5,100.0,0.03323049999999996,0.047167357,0.04019892852866648
Sphere,260,3.8461538461538463,2.1,0.5,100.0,0.019657499999999984,0.031107534,0.02538251686155795
Sphere,265,3.7735849056603774,2.1,0.5,100.0,0.0176945,0.031107534,0.02440101686155796
Sphere,270,3.7037037037037037,2.1,0.5,100.0,0.013889999999999991,0.015986752,0.014938375882506367
Sphere,275,3.6363636363636362,2.1,0.5,100.0,0.009285500000000014,0.011877483,0.010581491378486164
Sphere,280,3.5714285714285716,2.1,0.5,100.0,0.006819000000000007,0.007456351,0.0071376755357980765
Sphere,285,3.508771929824561,2.1,0.5,100.0,0.004340000000000004,0.0041949423,0.004267471151500942
Sphere,290,3.4482758620689653,2.1,0.5,100.0,0.0030440000000000033,0.0033242095,0.003184104739807548
Sphere,295,3.389830508474576,2.1,0.5,100.0,0.0028224999999999995,0.0028156112,0.0028190555974096057
Sphere,300,3.3333333333333335,2.1,0.5,100.0,0.0019205000000000018,0.0025443342,0.0022324170791506778
Sphere,305,3.278688524590164,2.1,0.5,100.0,0.0014510000000000002,0.0025443342,0.0019976670791506767
Sphere,310,3.225806451612903,2.1,0.5,100.0,0.0011309999999999988,0.0021094354,0.0016202176934778684
Sphere,315,3.1746031746031744,2.1,0.5,100.0,0.0010010000000000008,0.0021094354,0.0015552176934778695
